Country,2022,2018
Singapore,41,#N/A
South Korea,38,#N/A
Canada,38,#N/A
Australia,37,#N/A
New Zealand,36,#N/A
Estonia,36,#N/A
Finland,36,#N/A
Denmark,35,#N/A
Latvia,35,#N/A
Belgium,35,#N/A
Poland,34,#N/A
OECD average,33,#N/A
Portugal,33,#N/A
Lithuania,33,#N/A
Spain,33,#N/A
Czechia,33,#N/A
Germany,33,#N/A
Chinese Taipei,33,#N/A
France,32,#N/A
Netherlands,32,#N/A
Israel,32,#N/A
Macao (China),32,#N/A
Hong Kong (China),32,#N/A
Italy,31,#N/A
Malta,31,#N/A
Hungary,31,#N/A
Chile,31,#N/A
Croatia,30,#N/A
Iceland,30,#N/A
Slovenia,30,#N/A
Slovak Republic,29,#N/A
Mexico,29,#N/A
Serbia,29,#N/A
Uruguay,29,#N/A
United Arab Emirates,28,#N/A
Qatar,28,#N/A
Costa Rica,27,#N/A
Greece,27,#N/A
Ukrainian regions (18 of 27),27,#N/A
Romania,26,#N/A
Colombia,26,#N/A
Jamaica,26,#N/A
Malaysia,25,#N/A
Mongolia,25,#N/A
Moldova,24,#N/A
Kazakhstan,24,#N/A
Brunei Darussalam,24,#N/A
Cyprus,24,#N/A
Peru,23,#N/A
Brazil,23,#N/A
Saudi Arabia,23,#N/A
Panama,23,#N/A
El Salvador,23,#N/A
Baku (Azerbaijan),23,#N/A
Thailand,21,#N/A
Bulgaria,21,#N/A
Jordan,20,#N/A
North Macedonia,19,#N/A
Indonesia,19,#N/A
Palestinian Authority,18,#N/A
Dominican Republic,15,#N/A
Morocco,15,#N/A
Uzbekistan,14,#N/A
Philippines,14,#N/A
Albania,13,#N/A
